Sample,Total,mapped,mapping_rate,duplicates,dup_rate,depth,breadth
TN1A,145937046,145527833,0.997195962,26107484,0.179398562,145,0.9977
TN1N,95765104,95531434,0.997559967,14150049,0.148119299,100,0.9972
TN2A,91642730,90873723,0.991608642,13222769,0.145507068,86,0.9965
TN2N,83334434,83028596,0.996329992,11690997,0.140806873,83,0.9964
TN3A,91219012,90979658,0.997376051,14405002,0.158332119,91,0.9952
TN3N,102080726,101736771,0.996630559,13955820,0.137175771,101,0.9966
TN4A,104486584,104246353,0.997700844,16224053,0.155631852,108,0.9968
TN4N,83721050,83505548,0.997425952,11345405,0.135864087,87,0.9965
TN5A,100347556,100059432,0.997128739,17154356,0.171441669,106,0.9973
TN5N,100439036,100165820,0.997279783,15481231,0.154556025,105,0.9976